ingredient,reference,proxy_type (1:nutri 2:impact)
en:hydrogenated-vegetable-fat,en:vegetable-oil,1
en:pepper-extract,en:black-pepper-extract,
en:mollusc,en:clam,2
en:mollusc,en:mussel,2
en:mollusc,en:oyster,2
en:mollusc,en:scallop,2
en:mollusc,en:squid,2
en:fluoride,en:potassium-iodide,1
en:fluoride,en:sodium-iodide,2
fr:marrons-entiers,fr:marrons-entiers-bio,2
en:fenugreek-leaf,en:dried-fenugreek-leaves,2
en:prebiotics,en:oligofructose,
en:peach-juice,fr:jus-de-peche-a-base-de-concentre,1
en:hydrogenated-colza-oil,fr:huile-de-colza-totalement-hydrogenee,1
en:round-rice,fr:riz-rond-blanc,1
en:round-rice,fr:riz-rond-complet,1
en:round-rice,fr:riz-rond-demi-complet,1
en:gluten,en:barley-gluten,2
en:gluten,en:wheat-gluten,2
en:palm-fat,en:non-hydrogenated-palm-fat,1
en:palm-fat,en:totally-hydrogenated-palm-oil,1
en:einkorn-flour,en:whole-grain-einkorn-flour,1
en:vanillin,fr:sucre-vanilline,2
en:milk-proteins,en:whey,2
en:folate,en:vitamins,1
en:free-range-eggs,en:free-range-chicken-eggs,2
en:octopus,en:common-octopus,2
en:buffalo-milk,en:pasteurised-buffalo-milk,2
en:whey-protein,en:concentrated-whey-protein,2
